"CO_GRUPO","NT_GER","estado_civil","regiao","sexo","hestudos","cor_pele","renda_familiar","turno"
5710,52.6,"Solteiro(a)","Centro-Oeste","Feminino","De oito a doze","Branca","De 1,5 a 3 SM","Integral"
5710,63.1,"Casado(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","De 1,5 a 3 SM","Integral"
5710,33.7,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Parda","de 10 a 30 SM","Integral"
5710,58.1,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Branca","De 1,5 a 3 SM","Integral"
5710,46.3,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Branca","de 10 a 30 SM","Integral"
5710,64.2,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Nao Declarado","De 3 a 4,5 SM","Integral"
5710,41.4,"Solteiro(a)","Centro-Oeste","Feminino","De oito a doze","Parda","De 3 a 4,5 SM","Integral"
5710,48.8,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Parda","De 3 a 4,5 SM","Integral"
5710,52.9,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Nao Declarado","de 6 a 10 SM","Integral"
5710,62.7,"Solteiro(a)","Centro-Oeste","Feminino","De oito a doze","Parda","De 3 a 4,5 SM","Integral"
5710,51.9,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Branca","De 4,5 a 6 SM","Integral"
5710,58.4,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Branca","De 4,5 a 6 SM","Integral"
5710,77.7,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Preta","De 1,5 a 3 SM","Integral"
5710,37.5,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Parda","De 1,5 a 3 SM","Integral"
5710,66.4,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Branca","De 1,5 a 3 SM","Integral"
5710,71.5,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Parda","de 10 a 30 SM","Integral"
5710,57.8,"Casado(a)","Centro-Oeste","Masculino","De oito a doze","Branca","De 3 a 4,5 SM","Integral"
5710,62.7,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Parda","De 3 a 4,5 SM","Integral"
5710,75.1,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Branca","De 3 a 4,5 SM","Integral"
5710,50.5,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Parda","De 1,5 a 3 SM","Integral"
5710,46.1,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Amarela","de 10 a 30 SM","Integral"
5710,44.1,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Branca","De 4,5 a 6 SM","Integral"
5710,47.9,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Branca","De 4,5 a 6 SM","Integral"
5710,55.1,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Parda","Até 1,5 SM","Integral"
5710,73.5,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Parda","Até 1,5 SM","Integral"
5710,60.4,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Parda","de 6 a 10 SM","Integral"
5710,62.7,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Parda","de 10 a 30 SM","Integral"
5710,49.5,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Branca","De 4,5 a 6 SM","Integral"
5710,44.9,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Preta","Até 1,5 SM","Integral"
5710,27.7,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Branca","de 6 a 10 SM","Integral"
5710,78.9,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Nao Declarado","de 10 a 30 SM","Integral"
5710,40.6,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Parda","De 3 a 4,5 SM","Integral"
5710,59.9,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Parda","Acima de 30SM","Integral"
5710,67.6,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Preta","De 3 a 4,5 SM","Integral"
5710,35.5,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Branca","De 3 a 4,5 SM","Integral"
5710,59.6,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Parda","de 6 a 10 SM","Integral"
5710,47.7,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Branca","De 3 a 4,5 SM","Integral"
5710,54.8,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Parda","De 3 a 4,5 SM","Integral"
5710,49.8,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Preta","De 3 a 4,5 SM","Integral"
5710,60.9,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Parda","De 1,5 a 3 SM","Integral"
2001,NA,"Outro","Centro-Oeste","Feminino","De uma a três","Amarela","De 1,5 a 3 SM","Vespertino"
2001,30.7,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Parda","Até 1,5 SM","Vespertino"
2001,26.8,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Branca","Até 1,5 SM","Vespertino"
2001,52.4,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Preta","Até 1,5 SM","Matutino"
2001,31.9,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Parda","Até 1,5 SM","Vespertino"
2001,63.9,"Casado(a)","Centro-Oeste","Feminino","De oito a doze","Branca","De 1,5 a 3 SM","Matutino"
2001,NA,"Casado(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","De 3 a 4,5 SM","Vespertino"
2001,59.8,"Solteiro(a)","Centro-Oeste","Feminino","De oito a doze","Parda","de 6 a 10 SM","Matutino"
2001,54.6,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Parda","De 4,5 a 6 SM","Vespertino"
2001,26.1,"Viúvo(a)","Centro-Oeste","Feminino","De uma a três","Preta","De 1,5 a 3 SM","Vespertino"
2001,45.5,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Parda","Até 1,5 SM","Matutino"
2001,NA,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Parda","De 3 a 4,5 SM","Matutino"
2001,61.5,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Preta","de 6 a 10 SM","Matutino"
2001,63.8,"Casado(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","De 1,5 a 3 SM","Matutino"
2001,39.4,"Casado(a)","Centro-Oeste","Feminino","De oito a doze","Parda","Até 1,5 SM","Matutino"
2001,36.1,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Preta","Até 1,5 SM","Matutino"
2001,15.4,"Separado(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","De 1,5 a 3 SM","Vespertino"
2001,48.8,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Branca","De 1,5 a 3 SM","Vespertino"
2001,45.8,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Preta","De 4,5 a 6 SM","Matutino"
2001,50.7,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Preta","De 3 a 4,5 SM","Matutino"
2001,45.4,"Separado(a)","Centro-Oeste","Feminino","De quatro a sete","Preta","De 4,5 a 6 SM","Vespertino"
2001,54.8,"Casado(a)","Centro-Oeste","Feminino","Nenhuma, apenas assisto as aulas","Branca","Até 1,5 SM","Vespertino"
2001,68.5,"Solteiro(a)","Centro-Oeste","Feminino","De oito a doze","Nao Declarado","De 3 a 4,5 SM","Matutino"
2001,29.9,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Parda","De 1,5 a 3 SM","Matutino"
2001,43.2,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Parda","De 1,5 a 3 SM","Vespertino"
2001,44.6,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","De 1,5 a 3 SM","Vespertino"
2001,31.2,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Parda","De 1,5 a 3 SM","Matutino"
2001,59.8,"Casado(a)","Centro-Oeste","Feminino","De oito a doze","Parda","de 6 a 10 SM","Matutino"
2001,55.9,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Preta","De 4,5 a 6 SM","Vespertino"
2001,28.1,"Solteiro(a)","Centro-Oeste","Feminino","De oito a doze","Parda","Até 1,5 SM","Vespertino"
2001,42.9,"Casado(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","De 3 a 4,5 SM","Vespertino"
2001,54.1,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Branca","De 1,5 a 3 SM","Vespertino"
2001,34.8,"Solteiro(a)","Centro-Oeste","Feminino","Nenhuma, apenas assisto as aulas","Preta","Até 1,5 SM","Vespertino"
2001,48.5,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Preta","Até 1,5 SM","Vespertino"
2001,49,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Preta","De 3 a 4,5 SM","Matutino"
2001,60.8,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Parda","De 1,5 a 3 SM","Matutino"
2001,56.6,"Casado(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","De 1,5 a 3 SM","Matutino"
2001,46.4,"Outro","Centro-Oeste","Feminino","De uma a três","Parda","De 1,5 a 3 SM","Vespertino"
2001,57,"Casado(a)","Centro-Oeste","Feminino","De oito a doze","Parda","De 4,5 a 6 SM","Vespertino"
2001,50,"Casado(a)","Centro-Oeste","Feminino","De oito a doze","Branca","De 3 a 4,5 SM","Matutino"
2001,68.2,"Casado(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","Até 1,5 SM","Matutino"
2001,36.2,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Parda","De 4,5 a 6 SM","Vespertino"
2001,51.6,"Solteiro(a)","Centro-Oeste","Feminino","De oito a doze","Branca","De 1,5 a 3 SM","Vespertino"
2001,58.5,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Branca","de 6 a 10 SM","Matutino"
2001,16,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","Até 1,5 SM","Matutino"
2001,NA,NA,"Centro-Oeste","Feminino",NA,NA,NA,"Vespertino"
2001,51.3,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Parda","Até 1,5 SM","Vespertino"
2001,47.9,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Branca","De 1,5 a 3 SM","Vespertino"
